ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9320006,HW464072,09/23/2013 0:00,011XX N KINGSBURY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1822,18,27,8,14,1171318,1907323,2013,09/26/2013 0:40,41.90116328,-87.64617367,"(41.901163276023915, -87.64617367322832)"
9319837,HW463857,09/23/2013 0:00,053XX W PENSACOLA AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1624,16,38,15,6,1139725,1928440,2013,09/26/2013 0:40,41.95974632,-87.76170144,"(41.959746321287355, -87.76170143559474)"
9319186,HW463419,09/23/2013 0:00,043XX N SPAULDING AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1724,17,33,16,6,1153561,1928828,2013,09/25/2013 0:43,41.96054648,-87.7108233,"(41.960546477499754, -87.71082330369457)"
9326087,HW469410,09/23/2013 0:00,035XX N HOYNE AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1921,19,47,5,6,1161684,1923603,2013,09/29/2013 0:40,41.94604299,-87.68110529,"(41.946042987939016, -87.6811052865633)"
9320004,HW464192,09/23/2013 0:00,056XX S WOOD ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,FALSE,FALSE,715,7,15,67,14,1165356,1867101,2013,09/26/2013 0:40,41.79091916,-87.66921501,"(41.79091915956961, -87.66921500818508)"
9320096,HW464278,09/23/2013 0:00,071XX S DAMEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,735,7,17,67,7,1164228,1856977,2013,09/26/2013 0:40,41.76316139,-87.67363591,"(41.76316139493953, -87.67363591239946)"
9320064,HW464239,09/23/2013 0:00,019XX S HALSTED ST,810,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,1235,12,25,31,6,1171289,1891103,2013,09/26/2013 0:40,41.85665512,-87.64675679,"(41.85665511686501, -87.64675679355808)"
9319209,HW463408,09/23/2013 0:00,057XX S CAMPBELL AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,824,8,16,63,5,1160652,1866251,2013,09/28/2013 0:40,41.78868507,-87.68648702,"(41.78868506541894, -87.68648702000232)"
9319888,HW463960,09/23/2013 0:00,030XX W 37TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,911,9,12,58,14,1156693,1879560,2013,09/26/2013 0:40,41.82528755,-87.70064413,"(41.825287554528586, -87.70064412617806)"
9319822,HW463835,09/23/2013 0:00,060XX N KNOX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1711,17,39,12,14,1144318,1939523,2013,09/26/2013 0:40,41.99007359,-87.74453523,"(41.99007358903624, -87.74453523186473)"
